category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,Does not apply,2,http://www.ebay.com/itm/SET-OF-3-LIGHTED-WITCH-HAT-HANGING-TREE-OUTDOOR-HALLOWEEN-HOME-DECOR/132288830547?hash=item1ecd075c53%3Ag%3ARVIAAOSw8btZid5B,16 ,132288830547,13.75
,,,,,,,2,http://www.ebay.com/itm/8-ft-Halloween-sugar-skull-DAY-OF-THE-DEAD-DOOR-LIGHT-STRING-Party-Favor/112270086569?hash=item1a23d191a9%3Ag%3Ay7cAAOSwnHZYe8Vc,16 ,8,11.95
,,,,,,721773630569,1,http://www.ebay.com/itm/Group-of-Spooky-Witch-Halloween-Lawn-Props-Outdoor-Yard-Decoration-Scary-NEW/272403550988?epid=1502013914&hash=item3f6c84530c%3Ag%3AMfcAAOSwNRdX9mEB,16 ,272403550988,52.92
category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,,0,http://www.ebay.com/itm/Fireplace-Mantle-Scarf-Black-Lace-Spiderweb-Design-Halloween-Home-Party-Decor/253015849065,10 ,253015849065,12.23
,,,,,,,7,http://www.ebay.com/itm/Halloween-LED-Lantern-Spooky-Spiders-Creepy-House-Hanging-Outdoor-Decoration-NEW/112543646129,4 ,112543646129,18.82
,,,,,,Does not apply,1,http://www.ebay.com/itm/New-Halloween-Outdoor-Leaf-Decoration-Ghosts-Small-Large-Spider-free-shipping/121852768973,11 ,121852768973,6.90
,,,,,,Does not apply,0,http://www.ebay.com/itm/24-BLACK-WIDOW-Spider-Scary-Halloween-Decoration-Prop/231332457945,11 ,24,8.49
,,,,,,721773754333,0,http://www.ebay.com/itm/2-PACK-Giant-Skeleton-Window-Poster-Halloween-Haunted-House-Decor-30-x-48/351705728372,11 ,2,5.91
,,,,,,,8,http://www.ebay.com/itm/Halloween-Indoor-Outdoor-LED-Tree-4-Feet-Decorations/152695209288,12 ,152695209288,31.99
,,,,,,,21,http://www.ebay.com/itm/GIANT-20-FT-HANGING-PLASTIC-SPIDER-HALLOWEEN-PARTY-DECORATIONS-CEILING-PROP/371726214321,1 ,371726214321,5.25
,,,,,,Does not apply,6,http://www.ebay.com/itm/Animated-Halloween-Vulture-Prop-With-Sound-Motion-And-Light-Up-Eyes-Creepy-Rare/191959368468,1 ,191959368468,22.99
,,,,,,Does Not Apply,0,http://www.ebay.com/itm/Halloween-Decoration-Prop-Party-Natural-Creepy-Cloth-Beige-Scary-Haunted-House/291565801387,126 ,291565801387,5.99
,,,,,,885638815444,5,http://www.ebay.com/itm/2-Pieces-Zombie-Arm-Halloween-Animated-Prop-Decoration-For-Haunted-House-Hot/182754885921,3 ,2,9.19
,,,,,,727371478053,11,http://www.ebay.com/itm/Halloween-Decor-Outdoor-Yard-Decoration-Prop-Graveyard-Lights-Spooky-Skull-Hand/222624940202,14 ,222624940202,21.84
,,,,,,,15,http://www.ebay.com/itm/NEW-Halloween-Decoration-Black-Lace-Spiderweb-Fireplace-Mantle-Scarf-Cover-Party/172850545479,15 ,172850545479,12.99
,,,,,,3171993215881,16,http://www.ebay.com/itm/3-Ft-Halloween-Witch-Broom-Wooden-Outdoor-Yard-Home-Decor-Holiday-Decorations/122671670480,16 ,3,20.85
,,,,,,Does not apply,2,http://www.ebay.com/itm/SET-OF-3-LIGHTED-WITCH-HAT-HANGING-TREE-OUTDOOR-HALLOWEEN-HOME-DECOR/132288830547,16 ,132288830547,13.75
,,,,,,721773630569,1,http://www.ebay.com/itm/Group-of-Spooky-Witch-Halloween-Lawn-Props-Outdoor-Yard-Decoration-Scary-NEW/272403550988,16 ,272403550988,52.92
,,,,,,,2,http://www.ebay.com/itm/8-ft-Halloween-sugar-skull-DAY-OF-THE-DEAD-DOOR-LIGHT-STRING-Party-Favor/112270086569,16 ,8,11.95
,,,,,,Does not apply,0,http://www.ebay.com/itm/Halloween-String-Lights-Ghosts-Color-Changing-Fun-Decoration-Christmas-Light-NEW/290788417501,18 ,290788417501,9.99
,,,,,UNBRANDED,,,http://www.ebay.com/itm/LIFE-SIZE-CLIMBING-ZOMBIE-EASY-TO-HANG-INDOOR-OUTDOOR-HALLOWEEN-DECOR/232448943245,32 ,232448943245,26.97
,,,,,,086786632840,,http://www.ebay.com/itm/Halloween-Gemmy-6-ft-Pirate-Ship-with-Ghost-Lights-Up-Airblown-Inflatable-NIB/400622282942,20 ,400622282942,79.99
